date,pm2_5_mean,pm2_5_max,pm2_5_min,pm2_5_std,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,pressure_msl,tavg,tmin,tmax,prcp,wspd,pres,fire_count,fire_brightness_avg,fire_frp_mean,fire_frp_max,fire_frp_total
2023-08-15,49.895833333333336,68.2,38.2,8.858033895439414,112.38333333333333,222,23.650000000000002,13.295833333333334,565.1666666666666,29.837500000000002,74.29166666666667,8.766666666666667,80,1003.35,30.7,26.6,35.3,0.0,2.8,1003.0,0.0,0.0,0.0,0.0,0.0
2023-08-16,66.5125,103.1,38.3,20.97738559787037,158.53333333333333,221,47.57083333333333,15.174999999999999,994.5833333333334,30.787499999999998,72.79166666666667,3.9416666666666664,90,1002.4708333333333,32.4,30.0,37.2,0.0,2.9,1002.6,1.0,307.94,0.57,0.57,0.57
2023-08-17,58.98333333333333,76.8,48.9,8.893752896258707,152.52083333333334,248,37.016666666666666,13.2875,811.0416666666666,31.45,69.83333333333333,6.820833333333333,99,1001.8208333333333,32.4,29.4,37.1,0.0,3.0,1001.5,0.0,0.0,0.0,0.0,0.0
2023-08-18,53.89166666666667,66.4,47.7,6.1023813360863075,132.99166666666665,207,23.983333333333334,10.804166666666667,561.4166666666666,31.587500000000002,70.33333333333333,6.45,111,1002.35,32.9,29.5,37.5,0.0,1.4,1001.8,1.0,330.91,1.43,1.43,1.43
2023-08-19,57.74583333333334,70.5,48.9,5.595959657891901,118.33333333333333,212,26.037499999999998,11.616666666666667,603.0833333333334,30.754166666666666,77.08333333333333,6.758333333333333,100,1003.4916666666667,31.9,30.0,35.5,0.0,1.4,1002.6,2.0,310.35,0.73,0.91,1.46
2023-08-20,67.35833333333333,95.7,49.7,17.418753428833323,109.20416666666667,206,43.574999999999996,14.6,920.7916666666666,30.929166666666664,77.33333333333333,5.3999999999999995,138,1003.4458333333333,32.3,27.2,36.5,0.5,1.2,1003.4,3.0,325.4866666666667,1.9066666666666665,2.82,5.72
2023-08-21,70.39166666666667,100.1,57.0,13.783162906609823,112.94166666666666,236,38.237500000000004,17.258333333333333,878.5,32.57083333333333,70.375,4.6,294,1001.0958333333333,33.2,29.6,38.0,0.0,2.1,1001.5,0.0,0.0,0.0,0.0,0.0
2023-08-22,56.64166666666667,75.9,44.8,8.102222811843282,89.66666666666667,250,31.09166666666667,12.558333333333332,771.5833333333334,33.479166666666664,64.95833333333333,8.7125,71,998.0208333333334,34.4,30.4,38.5,0.0,3.0,998.8,0.0,0.0,0.0,0.0,0.0
2023-08-23,35.229166666666664,51.0,20.8,9.727347337886323,69.24166666666666,211,14.629166666666668,11.737499999999999,447.0416666666667,32.0875,67.66666666666667,12.725,105,997.2416666666667,32.2,30.5,36.6,0.0,5.5,996.8,0.0,0.0,0.0,0.0,0.0
2023-08-24,53.76666666666667,79.2,21.2,19.146816437991593,197.75833333333333,195,22.254166666666666,11.945833333333333,504.0,30.858333333333334,66.75,7.916666666666667,203,997.5708333333333,30.9,27.4,35.8,0.0,4.6,997.5,1.0,307.18,2.48,2.48,2.48
2023-08-25,47.824999999999996,64.3,33.8,9.979075935262694,120.51666666666667,174,23.441666666666666,12.133333333333333,515.5833333333334,28.683333333333334,75.54166666666667,8.887500000000001,74,998.9333333333334,30.6,27.8,35.0,10.9,5.4,998.2,1.0,333.28,2.69,2.69,2.69
2023-08-26,48.24583333333334,56.5,33.3,8.062741963563912,129.88333333333333,200,21.116666666666667,11.75,495.625,26.816666666666666,82.125,5.470833333333334,90,1001.275,30.1,24.2,34.5,33.8,4.6,1000.5,0.0,0.0,0.0,0.0,0.0
2023-08-27,58.53333333333333,83.4,41.8,13.225655787691316,117.77499999999999,243,39.229166666666664,18.366666666666667,868.2916666666666,29.425,74.29166666666667,4.816666666666666,253,999.9541666666668,31.7,27.0,35.0,0.0,2.4,1000.7,4.0,324.3075,3.615,7.65,14.46
2023-08-28,59.64166666666667,98.0,36.8,19.25065592708956,126.99166666666667,211,42.0625,17.391666666666666,893.0,28.704166666666666,73.83333333333333,8.0375,93,1000.7208333333333,30.7,26.2,34.5,20.3,3.0,1000.3,0.0,0.0,0.0,0.0,0.0
2023-08-29,51.69166666666667,66.1,36.4,10.285528739412253,112.3,200,38.71666666666666,14.329166666666666,813.7916666666666,28.662499999999998,72.83333333333333,6.641666666666667,249,1003.4708333333333,30.3,25.0,35.1,0.3,2.8,1002.5,2.0,306.64,0.9750000000000001,1.1,1.9500000000000002
2023-08-30,65.13333333333334,98.3,39.3,17.318441205752364,174.85416666666666,207,53.94583333333333,13.8375,1186.0,30.229166666666668,64.79166666666667,5.966666666666666,229,1004.5291666666667,31.2,25.8,35.9,0.0,1.8,1004.0,2.0,311.83500000000004,0.7050000000000001,0.75,1.4100000000000001
2023-08-31,60.32083333333333,90.6,38.6,17.57710910510467,126.8625,237,47.42916666666667,13.1625,1135.2916666666667,31.395833333333332,64.33333333333333,5.241666666666666,129,1004.8958333333334,32.8,28.7,37.5,0.0,1.8,1004.7,2.0,333.84000000000003,3.27,3.44,6.54
2023-09-01,38.63333333333333,54.0,27.5,8.736911536029526,84.40833333333333,173,36.791666666666664,9.204166666666667,716.9583333333334,31.837500000000002,56.583333333333336,7.6875,211,1004.2333333333332,32.4,29.4,36.6,0.0,2.3,1004.5,0.0,0.0,0.0,0.0,0.0
2023-09-02,36.75,51.5,27.2,7.589924671677521,76.1875,178,31.349999999999998,9.454166666666667,636.0416666666666,31.195833333333336,59.458333333333336,8.924999999999999,212,1003.125,32.3,30.5,36.6,0.0,2.6,1003.4,2.0,340.82000000000005,3.755,4.01,7.51
2023-09-03,42.5,69.8,29.8,12.617999565837614,82.35833333333333,201,38.545833333333334,12.75,752.0,30.708333333333332,58.75,7.404166666666666,231,1002.2708333333334,32.0,27.4,36.2,0.0,2.9,1002.4,0.0,0.0,0.0,0.0,0.0
2023-09-04,43.43333333333334,61.2,27.6,11.550857926603538,75.27083333333333,206,40.49583333333333,13.479166666666666,823.625,31.1125,61.0,7.1125,106,1002.2125,32.1,27.8,36.5,0.0,1.4,1001.5,6.0,325.40500000000003,2.703333333333333,6.13,16.22
2023-09-05,45.97083333333333,66.6,28.5,12.142074859102872,87.625,215,40.083333333333336,15.679166666666667,848.5833333333334,30.53333333333333,64.54166666666667,6.533333333333334,152,1004.1666666666666,31.2,26.0,36.1,0.0,2.8,1003.5,8.0,339.0725,5.501250000000001,14.47,44.010000000000005
2023-09-06,46.82083333333333,73.8,26.8,16.615157541983386,74.8875,225,48.375,14.362499999999999,1109.75,31.583333333333332,57.708333333333336,5.495833333333334,328,1004.4208333333332,31.9,28.5,37.0,0.0,1.7,1004.2,5.0,324.46,2.934,4.52,14.67
2023-09-07,53.9375,73.6,29.6,15.579133550166167,91.71666666666665,251,54.75833333333333,15.525,1236.625,31.59166666666667,55.625,6.391666666666667,171,1003.4250000000001,32.8,29.0,36.3,0.0,1.7,1003.6,4.0,341.8825,6.8325,10.03,27.33
2023-09-08,57.9125,91.3,34.3,16.239653897040178,99.34166666666665,255,42.30833333333333,15.116666666666667,991.6666666666666,31.97083333333333,55.291666666666664,6.466666666666666,140,1003.2041666666668,32.4,28.4,37.0,0.0,2.0,1003.2,0.0,0.0,0.0,0.0,0.0
2023-09-09,54.40833333333333,85.0,41.7,13.903578415416057,92.39999999999999,240,32.608333333333334,16.358333333333334,796.75,31.120833333333334,64.45833333333333,7.595833333333334,163,1002.3291666666668,31.1,27.0,35.7,0.0,2.9,1002.5,3.0,330.6933333333333,3.483333333333333,5.75,10.45
2023-09-10,53.70416666666667,83.6,38.0,15.267227736351591,89.55416666666667,233,28.004166666666666,16.162499999999998,701.125,29.8625,73.25,8.995833333333334,94,1001.3291666666668,30.3,27.0,33.5,0.0,2.9,1001.1,4.0,328.2275,3.925,6.71,15.7
2023-09-11,60.300000000000004,93.4,41.0,17.820969572998525,96.67083333333333,235,28.175,12.9,730.125,30.22083333333333,71.66666666666667,7.095833333333334,126,1001.7875,31.2,26.8,35.8,0.0,3.0,1001.5,0.0,0.0,0.0,0.0,0.0
2023-09-12,73.325,114.8,45.6,22.95421245796111,119.075,232,38.800000000000004,17.587500000000002,912.3333333333334,31.1875,68.58333333333333,5.658333333333334,299,1001.5458333333332,31.7,27.6,36.1,0.0,1.6,1001.4,0.0,0.0,0.0,0.0,0.0
2023-09-13,70.2375,105.5,49.2,17.157526235496167,112.53333333333335,233,33.525,16.716666666666665,851.25,31.270833333333332,73.0,9.004166666666666,111,1001.8249999999999,32.1,28.4,36.5,0.0,1.7,1001.5,1.0,312.72,5.99,5.99,5.99
2023-09-14,62.7875,92.9,51.8,12.887820758880983,98.77916666666665,186,31.191666666666666,12.5875,793.3333333333334,30.858333333333334,73.79166666666667,8.770833333333334,65,1003.35,31.7,29.5,35.0,4.6,1.9,1002.6,3.0,319.13,2.6466666666666665,5.77,7.9399999999999995
2023-09-15,50.65416666666667,60.8,39.0,6.935540426995779,78.08333333333333,206,21.650000000000002,10.379166666666666,621.3333333333334,28.916666666666668,81.41666666666667,9.725,102,1004.7583333333333,31.3,27.5,35.5,0.0,3.1,1004.0,1.0,307.2,1.99,1.99,1.99
2023-09-16,39.17916666666667,50.9,33.1,5.993618284886643,58.51666666666667,188,18.7,10.3375,575.125,29.320833333333336,79.33333333333333,6.279166666666666,85,1004.3916666666668,29.6,26.5,35.5,0.0,2.2,1004.5,11.0,336.91545454545457,4.84,13.99,53.24
2023-09-17,26.491666666666664,46.1,16.9,8.01997054459877,38.43333333333333,171,19.366666666666667,10.808333333333332,488.25,27.816666666666666,81.83333333333333,7.954166666666667,62,1003.6083333333332,27.4,26.0,33.5,0.0,2.8,1003.5,0.0,0.0,0.0,0.0,0.0
2023-09-18,22.791666666666668,37.7,13.4,7.880571413108407,32.75,123,22.075,6.845833333333334,482.9166666666667,26.179166666666664,82.95833333333333,11.391666666666666,76,1004.8416666666667,27.1,24.5,30.5,14.5,5.3,1003.7,0.0,0.0,0.0,0.0,0.0
2023-09-19,32.270833333333336,51.8,19.5,11.616423125553064,46.5625,159,32.225,12.466666666666667,651.5416666666666,27.108333333333334,83.79166666666667,6.095833333333334,63,1006.8791666666666,24.6,23.0,27.2,44.2,2.1,1006.1,0.0,0.0,0.0,0.0,0.0
2023-09-20,36.74583333333333,61.0,18.6,16.55326000118003,53.27916666666667,184,42.625,15.433333333333332,911.5416666666666,28.541666666666668,78.875,5.279166666666667,227,1005.9250000000001,30.2,22.4,34.5,43.2,0.8,1006.2,1.0,307.12,0.5,0.5,0.5
2023-09-21,49.208333333333336,76.1,29.9,16.6577026618623,72.12916666666666,215,42.85833333333333,20.266666666666666,929.8333333333334,29.254166666666666,77.08333333333333,5.616666666666667,198,1004.8874999999999,30.7,26.0,35.0,0.0,1.5,1004.8,0.0,0.0,0.0,0.0,0.0
2023-09-22,53.895833333333336,94.3,28.6,22.816479154648132,79.43333333333334,202,41.262499999999996,16.641666666666666,1054.1666666666667,28.458333333333332,80.29166666666667,7.4125000000000005,125,1005.1708333333332,28.1,27.0,34.0,0.0,1.6,1004.8,1.0,331.12,3.75,3.75,3.75
2023-09-23,35.05416666666667,47.6,17.2,6.434552054722034,56.895833333333336,183,28.941666666666666,12.008333333333333,705.3333333333334,26.7375,85.54166666666667,5.991666666666667,90,1006.3791666666666,26.4,22.5,30.3,29.7,4.6,1006.2,0.0,0.0,0.0,0.0,0.0
2023-09-24,32.699999999999996,43.2,22.7,6.277496039165543,54.48333333333333,205,27.004166666666666,13.166666666666666,594.0,26.883333333333336,84.04166666666667,5.258333333333334,90,1005.5083333333333,27.2,22.0,31.5,1.0,2.4,1005.9,0.0,0.0,0.0,0.0,0.0
2023-09-25,31.474999999999998,38.2,25.0,4.462427687880806,51.15833333333333,186,26.445833333333336,10.770833333333334,589.8333333333334,25.53333333333333,84.45833333333333,6.883333333333333,13,1007.1166666666667,27.2,22.8,32.0,0.0,2.6,1006.2,1.0,311.72,1.22,1.22,1.22
2023-09-26,38.791666666666664,60.1,26.1,10.91699579103378,66.7625,188,35.86666666666667,13.4125,810.7083333333334,26.604166666666668,76.41666666666667,5.55,356,1008.0208333333334,27.9,24.5,33.0,0.0,1.2,1007.6,14.0,330.24571428571426,3.807142857142857,7.53,53.3
