date,pm2_5_mean,pm2_5_max,pm2_5_std,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,relative_humidity_2m,tavg,tmin,tmax,prcp,wspd,pres,fire_count,fire_frp_max,fire_frp_total
2023-12-10,73.8,96.2,19.85488659597759,106.32916666666668,172,46.77916666666667,17.191666666666666,1431.5,72.29166666666667,15.8,9.0,23.5,0.0,0.5,1015.0,17.0,5.3,37.32
2023-12-11,112.87083333333334,159.7,33.14107498934329,162.45000000000002,213,72.39583333333333,28.5625,2478.958333333333,80.45833333333333,15.3,9.0,22.2,0.0,0.0,1015.1,6.0,8.03,22.4
2023-12-12,95.38333333333333,134.6,25.54586100511693,137.275,182,51.458333333333336,27.09583333333333,1900.125,79.95833333333333,14.7,8.8,21.0,0.0,0.2,1015.4,6.0,4.14,10.61
2023-12-13,129.7875,187.7,37.15736585061597,171.04583333333335,222,67.60833333333333,36.73333333333333,2389.958333333333,80.41666666666667,14.9,8.5,21.5,0.0,0.2,1017.2,2.0,3.79,4.86
2023-12-14,109.04583333333332,155.1,31.69686555847256,137.22916666666666,193,61.29166666666666,28.329166666666666,2083.25,78.08333333333333,13.8,9.0,19.4,0.0,0.3,1018.0,2.0,1.42,1.89
2023-12-15,121.225,170.4,33.766438830654735,178.1916666666667,242,79.48333333333333,38.22083333333333,2647.0416666666665,75.04166666666667,14.1,8.7,21.8,0.0,0.2,1018.7,7.0,2.8,12.23
2023-12-16,93.0375,157.9,21.8671843180598,136.08333333333334,259,51.27916666666667,29.0375,1737.2083333333333,83.75,13.2,8.2,19.0,0.0,0.3,1018.1,2.0,3.5,5.8
2023-12-17,66.09583333333333,108.3,16.004441752123114,99.20416666666668,165,38.10416666666666,19.175,1175.6666666666667,83.79166666666667,13.6,9.0,20.0,0.0,1.0,1019.2,4.0,6.23,11.07
2023-12-18,55.025,66.6,7.143269863852692,81.69166666666666,151,28.65416666666667,13.920833333333334,1000.0,74.54166666666667,13.8,8.0,22.0,0.0,0.4,1020.8,2.0,5.84,7.09
2023-12-19,64.17083333333333,91.3,13.18541615859592,93.175,186,39.06666666666667,16.141666666666666,1347.2916666666667,79.25,13.9,8.0,21.8,0.0,1.0,1020.4,6.0,14.63,33.0
2023-12-20,85.7375,108.5,20.574336325077205,123.25,206,59.0,21.229166666666668,1976.5,80.125,15.4,8.9,23.0,0.0,0.0,1019.6,9.0,3.87,16.98
2023-12-21,122.57083333333333,166.7,39.17621815388234,175.79583333333335,242,77.36666666666666,30.8125,2686.75,87.95833333333333,14.3,7.5,21.5,0.0,0.8,1018.7,7.0,2.69,10.52
2023-12-22,146.98333333333332,222.1,43.80252788681678,210.7375,244,81.00416666666666,33.72083333333333,2882.583333333333,90.375,14.0,7.5,19.5,0.0,0.4,1018.1,2.0,2.58,4.98
2023-12-23,147.41666666666666,203.0,29.827557533358263,211.92083333333332,256,74.19166666666666,34.666666666666664,2691.25,86.375,14.8,9.3,23.0,0.0,1.3,1020.2,6.0,8.53,23.52
2023-12-24,121.60833333333332,194.2,38.95340490410547,175.26666666666665,273,60.17916666666667,25.933333333333334,2325.5416666666665,88.04166666666667,13.2,9.3,20.5,0.0,0.0,1022.1,1.0,0.88,0.88
2023-12-25,113.6125,187.2,52.52083075355414,164.92499999999998,199,71.06666666666666,25.229166666666668,2317.1666666666665,85.41666666666667,14.7,10.0,22.0,0.0,0.4,1019.8,8.0,3.36,15.93
2023-12-26,156.27916666666667,225.8,60.581206579101,225.13333333333333,237,109.6375,39.3625,3378.2916666666665,86.08333333333333,14.6,10.0,21.2,0.0,0.0,1019.1,1.0,2.55,2.55
2023-12-27,122.20416666666668,217.9,44.79723864904745,175.72083333333333,275,64.2,27.0,2269.7916666666665,90.875,13.4,9.5,19.0,0.0,0.2,1021.1,0.0,0.0,0.0
2023-12-28,125.45416666666668,168.1,25.776530936133536,180.3166666666667,263,49.32916666666667,20.183333333333334,2236.6666666666665,92.875,13.6,9.5,19.0,0.0,0.8,1019.5,0.0,0.0,0.0
2023-12-29,157.90416666666667,210.5,30.96999219674857,227.175,222,61.88333333333333,27.066666666666663,2539.1666666666665,93.875,12.1,10.5,16.0,0.0,1.8,1020.8,0.0,0.0,0.0
2023-12-30,180.0041666666667,251.5,45.66396618747669,258.85,243,76.57916666666667,34.045833333333334,2856.833333333333,91.79166666666669,11.9,9.0,15.0,0.0,1.2,1019.8,1.0,3.33,3.33
2023-12-31,198.80833333333337,262.6,38.91290069603794,285.975,327,86.97083333333335,35.65416666666667,3217.708333333333,92.79166666666669,11.2,9.0,14.3,0.0,0.3,1019.5,1.0,2.57,2.57
2024-01-01,189.775,254.3,39.118262720382525,272.58750000000003,270,74.33749999999999,27.604166666666668,2982.6666666666665,92.875,10.5,9.5,13.9,0.0,0.7,1019.9,0.0,0.0,0.0
2024-01-02,185.4875,247.7,37.25365826798527,267.2958333333333,251,82.40416666666667,25.39583333333333,3236.958333333333,92.75,10.1,8.5,13.3,0.0,0.8,1019.3,0.0,0.0,0.0
2024-01-03,179.00833333333333,233.8,25.775635895106483,257.7875,289,62.7375,22.433333333333334,2887.6666666666665,92.45833333333331,9.4,7.5,13.3,0.0,1.5,1019.4,0.0,0.0,0.0
2024-01-04,161.94583333333335,212.3,33.40334504424561,233.1208333333333,276,62.64166666666667,22.495833333333334,2826.7916666666665,90.70833333333331,9.0,7.4,12.0,0.0,0.2,1019.4,0.0,0.0,0.0
2024-01-05,173.54999999999998,234.2,31.594564749955502,249.91666666666663,247,66.46249999999999,24.775,3019.0,91.08333333333331,9.0,7.0,11.5,0.0,0.6,1019.4,0.0,0.0,0.0
